biotech_id,date,lake,site,n_adults,lat,lon
H-1-06_S42,2006-06-24,Mývatn,H,40,65.593889,-17.058116
H-1-11_S9,2011-07-15,Mývatn,H,40,65.593889,-17.058116
H-2-05_S43,2005-08-17,Mývatn,H,35,65.593889,-17.058116
H-2-06_S44,2006-08-03,Mývatn,H,40,65.593889,-17.058116
H-2-10_S10,2010-09-09,Mývatn,H,40,65.593889,-17.058116
KS-1-11_S45,2011-07-16,Mývatn,KS,24,65.573243,-16.966942
KS-1-13_S46,2013-07-02,Mývatn,KS,10,65.573243,-16.966942
KS-1-15-B_S12,2015-06-17,Mývatn,KS,40,65.573243,-16.966942
KS-1-77_S47,1977-06-23,Mývatn,KS,40,65.573243,-16.966942
KS-2-09-B_S48,2009-08-18,Mývatn,KS,40,65.573243,-16.966942
KS-2-13_S49,2013-08-06,Mývatn,KS,40,65.573243,-16.966942
KS-2-14-B_S50,2014-08-27,Mývatn,KS,40,65.573243,-16.966942
KS-2-83_S51,1983-07-24,Mývatn,KS,40,65.573243,-16.966942
KS-2-90_S52,1990-08-22,Mývatn,KS,40,65.573243,-16.966942
SN-1-00_S53,2000-06-14,Mývatn,SN,40,65.618243,-16.978791
SN-1-01_S54,2001-07-03,Mývatn,SN,40,65.618243,-16.978791
SN-1-02_S55,2002-06-10,Mývatn,SN,40,65.618243,-16.978791
SN-1-07_S23,2007-06-10,Mývatn,SN,40,65.618243,-16.978791
SN-1-08_S24,2008-06-11,Mývatn,SN,40,65.618243,-16.978791
SN-1-09_S25,2009-06-18,Mývatn,SN,40,65.618243,-16.978791
SN-1-10_S26,2010-06-21,Mývatn,SN,40,65.618243,-16.978791
SN-1-13_S56,2013-07-02,Mývatn,SN,14,65.618243,-16.978791
SN-1-14_S27,2014-06-06,Mývatn,SN,40,65.618243,-16.978791
SN-1-82_S57,1982-06-06,Mývatn,SN,40,65.618243,-16.978791
SN-1-88_S58,1988-06-16,Mývatn,SN,18,65.618243,-16.978791
SN-1-95_S59,1995-06-17,Mývatn,SN,40,65.618243,-16.978791
SN-1-96_S60,1996-06-01,Mývatn,SN,40,65.618243,-16.978791
SN-1-97_S61,1997-06-20,Mývatn,SN,24,65.618243,-16.978791
SN-1-99_S28,1999-06-25,Mývatn,SN,40,65.618243,-16.978791
SN-2-00_S29,2000-08-04,Mývatn,SN,40,65.618243,-16.978791
SN-2-01_S62,2001-08-13,Mývatn,SN,40,65.618243,-16.978791
SN-2-02_S30,2002-08-13,Mývatn,SN,40,65.618243,-16.978791
SN-2-07_S31,2007-08-19,Mývatn,SN,40,65.618243,-16.978791
SN-2-08_S32,2008-08-21,Mývatn,SN,40,65.618243,-16.978791
SN-2-09_S63,2009-08-18,Mývatn,SN,15,65.618243,-16.978791
SN-2-10_S33,2010-10-10,Mývatn,SN,40,65.618243,-16.978791
SN-2-13-B_S64,2013-07-22,Mývatn,SN,35,65.618243,-16.978791
SN-2-15_S34,2015-08-30,Mývatn,SN,40,65.618243,-16.978791
SN-2-91_S65,1991-08-19,Mývatn,SN,40,65.618243,-16.978791
SN-2-92_S35,1992-08-15,Mývatn,SN,40,65.618243,-16.978791
SN-2-96_S36,1996-08-22,Mývatn,SN,34,65.618243,-16.978791
SN-2-97_S37,1997-08-05,Mývatn,SN,19,65.618243,-16.978791
SN-2-98_S66,1998-08-10,Mývatn,SN,41,65.618243,-16.978791
SN-2-99_S38,1999-08-11,Mývatn,SN,40,65.618243,-16.978791
Ellid-19_S8,2019-06-09,Elliðavatn,NA,21,64.085665,-21.765923
Tjornin_S40,2019-06-14,Tjörnin,NA,10,64.1429825,-21.940998
Hrisatjorn_S11,2019-06-08,Hrisatjorn,NA,25,65.6849545,-19.586016
Pernuvatn_S21,2019-07-05,Þernuvatn,NA,20,66.3135715,-15.844681
Lys-19_S14,2019-06-29,Lýsuvatn,NA,40,64.8242,-23.207707
Ola-19_S20,2019-06-08,Ólafsfjarðarvatn,NA,40,66.045225,-18.686722
Blo-19_S7,2019-06-09,Grafarvatn,NA,40,65.66494,-20.230369
Mik-19_S15,2019-05-31,Miklavatn,NA,40,65.966037,-17.549623
Sva-19_S39,2019-06-07,Svartárvatn,NA,40,65.342435,-17.24622167
Vik-19_S41,2019-07-09,Víkingavatn,NA,40,66.103246,-16.845102
Skj-19_S22,2019-05-31,Skjálftavatn,NA,40,66.070941,-16.658221
MyBR-19_S17,2019-05-31,Mývatn,BR,40,65.567918,-17.0059025
Lei-19_S13,2019-07-05,Leirhafnarvatn,NA,40,66.4042835,-16.5037925
Blik-19_S6,2019-07-05,Blikalón,NA,40,66.4894365,-16.2499545
Ash-19_S5,2019-06-08,Áshildarholtsvatn,NA,30,65.72435367,-19.60394467
MikW-19_S16,2019-06-08,Miklavatn-W,NA,40,66.052545,-19.0422285
MySN-19_S19,2019-06-21,Mývatn,SN,40,65.614025,-16.964377
MyKS-19-B_S18,2019-06-21,Mývatn,KS,7,65.5719545,-16.969334
