ID,store_males,store_wings,site,col_year,col_month,col_day,gen,sep_year,sep_month,sep_day,num_males,num_wings,contam_pilot,extract_row,extract_col,biotech_id,sequenced,notes
80,,,SN,1977,5,31,1,2020,11,22,0,0,,,,,FALSE,
9,A9,,SN,1977,6,11,1,2020,10,22,21,0,,1,1,SN-1-77,TRUE,
76,,,SN,1977,6,11,1,2020,11,22,0,0,,,,,FALSE,
88,B36,B37,KS,1977,6,23,1,2020,11,28,40,20,,2,1,KS-1-77,TRUE,
77,,,SN,1977,6,28,1,2020,11,22,0,0,,,,,FALSE,
87,,,KS,1977,7,10,1,2020,11,28,0,0,,,,,FALSE,Only Micropsectra
78,,,SN,1977,7,17,1,2020,11,22,0,0,,,,,FALSE,
90,B38,B39,KS,1977,8,10,2,2020,11,28,40,20,,4,1,KS-2-77,TRUE,
75,B31,B32,SN,1977,8,15,2,2020,11,21,31,16,,3,1,SN-2-77,TRUE,
89,,,KS,1977,8,20,2,2020,11,28,0,0,,,,,FALSE,
74,B29,B30,SN,1978,6,18,1,2020,11,21,40,20,,5,1,SN-1-78,TRUE,already separated
73,B27,B28,SN,1978,8,2,2,2020,11,21,40,20,TRUE,,,,FALSE,already separated
130,,,SN,1978,8,2,2,2021,4,3,40,20,,6,1,SN-2-78,TRUE,
4,A4,,SN,1979,6,20,1,2020,10,1,50,0,,7,1,SN-1-79,TRUE,already separated
5,A5,,SN,1979,6,20,1,2020,10,1,40,0,TRUE,,,,FALSE,already separated
2,A2,,SN,1979,8,1,2,2020,9,26,40,0,,8,1,SN-2-79,TRUE,already separated
3,A3,,SN,1979,8,1,2,2020,9,26,30,0,,,,,FALSE,already separated
7,A7,,SN,1980,6,16,1,2020,10,9,41,0,TRUE,,,,FALSE,
131,,,SN,1980,6,16,1,2021,4,3,40,20,,9,1,SN-1-80,TRUE,
6,A6,,SN,1980,8,11,2,2020,10,1,57,0,,1,2,SN-2-80,TRUE,already separated
8,A8,,SN,1981,6,9,1,2020,10,9,42,0,,2,2,SN-1-81,TRUE,
98,,,KS,1981,10,11,2,2020,11,29,0,0,,,,,FALSE,
72,B25,B26,SN,1982,6,6,1,2020,11,21,40,20,TRUE,,,,FALSE,35 were already separated
132,,,SN,1982,6,6,1,2021,4,3,40,20,,3,2,SN-1-82,TRUE,
71,B23,B24,SN,1982,8,5,2,2020,11,14,40,20,,4,2,SN-2-82,TRUE,dried out
97,B49,B50,KS,1982,8,11,2,2020,11,29,40,20,,5,2,KS-2-82,TRUE,
91,B40,B41,KS,1983,6,17,1,2020,11,28,40,20,,6,2,KS-1-83,TRUE,
92,B42,B43,KS,1983,7,24,2,2020,11,28,40,20,,7,2,KS-2-83,TRUE,
70,,,SN,1983,8,10,2,2020,11,14,0,0,,,,,FALSE,
93,B44,B45,KS,1984,6,13,1,2020,11,28,40,20,,8,2,KS-1-84,TRUE,
82,,,SN,1984,6,13,1,2020,11,22,0,0,,,,,FALSE,
69,,,SN,1984,7,5,1,2020,11,14,0,0,,,,,FALSE,
94,B46,,KS,1984,7,24,2,2020,11,29,5,0,,,,,FALSE,
95,B47,B48,KS,1984,8,9,2,2020,11,29,40,20,,9,2,KS-2-84,TRUE,
83,,,SN,1984,8,9,2,2020,11,22,0,0,,,,,FALSE,
68,,,SN,1984,8,17,2,2020,11,14,0,0,,,,,FALSE,
96,,,KS,1985,6,13,1,2020,11,29,0,0,,,,,FALSE,dried out
66,B20,B21,SN,1985,6,13,1,2020,11,14,26,20,,1,3,SN-1-85,TRUE,
67,B22,,SN,1985,6,13,1,2020,11,14,2,0,,,,,FALSE,from Amanda
65,,,SN,1985,6,28,1,2020,11,14,0,0,,,,,FALSE,
127,B74,B75,KS,1985,8,24,2,2020,12,5,19,10,,3,3,KS-2-85,TRUE,
64,B18,B19,SN,1985,8,25,2,2020,11,13,40,20,,2,3,SN-2-85,TRUE,
63,B16,B17,SN,1986,6,9,1,2020,11,11,40,20,,4,3,SN-1-86,TRUE,
62,B15,,SN,1986,6,26,1,2020,11,11,4,0,,,,,FALSE,midges dried out
61,B13,B14,SN,1986,8,21,2,2020,11,9,40,20,,5,3,SN-2-86,TRUE,
60,B11,B12,SN,1987,6,12,1,2020,11,9,40,20,,6,3,SN-1-87,TRUE,cloudy with dust
59,B9,B10,SN,1987,7,28,2,2020,11,9,40,20,,7,3,SN-2-87,TRUE,
1,A1,,SN,1988,6,16,1,2020,9,16,18,0,,8,3,SN-1-88,TRUE,already separated
58,,,SN,1989,7,28,2,2020,11,9,0,0,,,,,FALSE,
99,,,KS,1989,8,5,2,2020,11,29,0,0,,,,,FALSE,
84,,,SN,1990,6,1,1,2020,11,22,0,0,,,,,FALSE,
100,B51,B52,KS,1990,6,15,1,2020,11,29,28,14,,9,3,KS-1-90,TRUE,
57,B7,B8,SN,1990,6,15,1,2020,11,7,8,8,,,,,FALSE,
56,B5,B6,SN,1990,8,3,2,2020,11,7,40,20,,1,4,SN-2-90,TRUE,
126,B72,B73,KS,1990,8,22,2,2020,12,5,40,20,,2,4,KS-2-90,TRUE,
55,B3,B4,SN,1991,6,6,1,2020,11,7,40,20,,3,4,SN-1-91,TRUE,
54,B1,B2,SN,1991,8,19,2,2020,11,7,40,20,,4,4,SN-2-91,TRUE,
53,A80,A81,SN,1992,6,1,1,2020,11,7,40,20,,5,4,SN-1-92,TRUE,
52,A78,A79,SN,1992,8,15,2,2020,11,7,40,20,,6,4,SN-2-92,TRUE,
51,A76,A77,SN,1993,6,9,1,2020,11,6,40,20,,7,4,SN-1-93,TRUE,
50,A74,A75,SN,1993,8,3,2,2020,11,6,40,20,,8,4,SN-2-93,TRUE,
49,A72,A73,SN,1994,6,14,1,2020,11,6,40,20,,9,4,SN-1-94,TRUE,
48,A70,A71,SN,1994,8,8,2,2020,11,6,40,20,,1,5,SN-2-94,TRUE,
47,A68,A69,SN,1995,6,17,1,2020,11,4,40,20,,2,5,SN-1-95,TRUE,
46,A66,A67,SN,1995,8,7,2,2020,11,4,40,20,,3,5,SN-2-95,TRUE,
45,A64,A65,SN,1996,6,1,1,2020,11,4,40,20,,4,5,SN-1-96,TRUE,
44,A62,A63,SN,1996,8,22,2,2020,11,3,34,17,,5,5,SN-2-96,TRUE,
101,,,H,1997,6,11,1,2020,11,29,0,0,,,,,FALSE,
125,,,H,1997,6,11,1,2020,12,5,0,0,,,,,FALSE,
43,A60,A61,SN,1997,6,20,1,2020,11,3,24,12,,6,5,SN-1-97,TRUE,
85,B33,B34,SN,1997,6,20,1,2020,11,22,8,4,,,,,FALSE,
86,B35,,SN,1997,7,24,2,2020,11,22,3,0,,,,,FALSE,
102,,,H,1997,7,27,2,2020,11,29,0,0,,,,,FALSE,
42,A58,A59,SN,1997,8,5,2,2020,11,3,19,10,,7,5,SN-2-97,TRUE,
81,,,SN,1997,8,25,2,2020,11,22,0,0,,,,,FALSE,
104,B54,,H,1998,6,8,1,2020,11,29,1,0,,,,,FALSE,1 male from first half of sample
103,B53,,KS,1998,6,8,1,2020,11,29,4,0,,,,,FALSE,
41,,,SN,1998,6,8,1,2020,11,3,0,0,,,,,FALSE,
40,A56,A57,SN,1998,8,10,2,2020,11,1,41,20,,8,5,SN-2-98,TRUE,
39,A54,A55,SN,1999,6,25,1,2020,11,1,40,20,,9,5,SN-1-99,TRUE,
38,A52,A53,SN,1999,8,11,2,2020,11,1,40,20,TRUE,,,,FALSE,
133,,,SN,1999,8,11,2,2021,4,5,40,20,,1,6,SN-2-99,TRUE,
37,A50,A51,SN,2000,6,14,1,2020,11,1,40,20,,2,6,SN-1-00,TRUE,
36,A48,A49,SN,2000,8,4,2,2020,11,1,40,20,,3,6,SN-2-00,TRUE,
35,A46,A47,SN,2001,7,3,1,2020,10,31,40,20,,4,6,SN-1-01,TRUE,
34,A44,A45,SN,2001,8,13,2,2020,10,31,40,20,,5,6,SN-2-01,TRUE,
33,A42,A43,SN,2002,6,10,1,2020,10,31,40,20,,6,6,SN-1-02,TRUE,
32,A40,A41,SN,2002,8,13,2,2020,10,30,40,20,,7,6,SN-2-02,TRUE,
107,,,KS,2003,8,13,2,2020,11,29,0,0,,,,,FALSE,
31,,,SN,2003,8,13,2,2020,10,30,0,0,,,,,FALSE,
79,,,SN,2004,6,18,1,2020,11,22,0,0,,,,,FALSE,
108,,,KS,2004,6,28,1,2020,11,29,0,0,,,,,FALSE,
30,,,SN,2004,6,28,1,2020,10,30,0,0,,,,,FALSE,
105,,,H,2004,7,27,2,2020,11,29,0,0,,,,,FALSE,
29,,,SN,2004,7,28,2,2020,10,30,0,0,,,,,FALSE,
106,,,V,2004,7,28,2,2020,11,29,0,0,,,,,FALSE,
28,,,SN,2004,9,18,2,2020,10,30,0,0,,,,,FALSE,
109,,,H,2005,6,24,1,2020,11,29,0,0,,,,,FALSE,
114,B61,,KS,2005,7,12,1,2020,12,3,1,0,,,,,FALSE,
27,,,SN,2005,7,12,1,2020,10,30,0,0,,,,,FALSE,
110,,,V,2005,7,12,1,2020,11,29,0,0,,,,,FALSE,
111,B55,B56,H,2005,8,17,2,2020,11,30,35,20,,8,6,H-2-05,TRUE,
112,B57,B58,H,2006,6,24,1,2020,12,1,40,20,,9,6,H-1-06,TRUE,
113,B59,B60,H,2006,8,3,2,2020,12,1,40,20,,1,7,H-2-06,TRUE,
26,A38,A39,SN,2007,6,10,1,2020,10,28,40,20,,2,7,SN-1-07,TRUE,
25,A36,A37,SN,2007,8,19,2,2020,10,28,40,20,,3,7,SN-2-07,TRUE,
24,A34,A35,SN,2008,6,11,1,2020,10,28,40,20,,4,7,SN-1-08,TRUE,
23,A32,A33,SN,2008,8,21,2,2020,10,27,40,20,,5,7,SN-2-08,TRUE,
22,A30,A31,SN,2009,6,18,1,2020,10,27,40,20,TRUE,,,,FALSE,
134,,,SN,2009,6,18,1,2021,4,5,40,20,,6,7,SN-1-09,TRUE,
21,A28,A29,SN,2009,8,18,2,2020,10,25,40,20,,,,,FALSE,contaminated during processing
128,,,SN,2009,8,18,2,2021,4,3,15,8,,7,7,SN-2-09,TRUE,bodies very clear?
20,A26,A27,SN,2010,6,21,1,2020,10,25,40,20,,8,7,SN-1-10,TRUE,
115,B62,B63,H,2010,9,9,2,2020,12,3,40,20,,,,,FALSE,contaminated during processing
129,,,H,2010,9,9,2,2021,4,3,40,20,,1,8,H-2-10,TRUE,
19,A24,A25,SN,2010,10,10,2,2020,10,25,40,20,,9,7,SN-2-10,TRUE,
116,B64,B65,H,2011,7,15,1,2020,12,4,40,20,,3,8,H-1-11,TRUE,
118,B66,B67,KS,2011,7,16,1,2020,12,4,24,12,,2,8,KS-1-11,TRUE,
119,,,KS,2011,8,27,2,2020,12,4,0,0,,,,,FALSE,
18,,,SN,2011,8,27,2,2020,10,25,0,0,,,,,FALSE,
117,,,H,2011,8,29,2,2020,12,4,0,0,,,,,FALSE,
